source_id,title,url,content_type,published_date,audience,primary_use_case,topic_tags,core,boundary,notes
ai-introduction,An introduction to artificial intelligence,https://www.cyber.gov.au/business-government/secure-design/artificial-intelligence/an-introduction-to-artificial-intelligence,html,2023-11-23,all,learn,overview;terminology;threats,true,false,Good overview and terminology source
engaging-with-ai,Engaging with artificial intelligence,https://www.cyber.gov.au/business-government/secure-design/artificial-intelligence/engaging-with-artificial-intelligence,html,2024-01-23,organisation,use,secure-use;governance;privacy;supply-chain,true,false,Core source for secure use guidance
ai-data-security,AI data security,https://www.cyber.gov.au/business-government/secure-design/artificial-intelligence/ai-data-security,html,2025-05-22,organisation,develop-or-use,data-security;data-poisoning;data-drift,true,false,Strong core source
ai-ml-supply-chain,Artificial intelligence and machine learning: Supply chain risks and mitigations,https://www.cyber.gov.au/business-government/secure-design/artificial-intelligence/artificial-intelligence-and-machine-learning-supply-chain-risks-and-mitigations,html,2025-10-15,organisation,deploy-or-develop,supply-chain;models;dependencies;libraries;cloud,true,false,Core source
secure-ai-development,Guidelines for secure AI system development,https://www.cyber.gov.au/business-government/secure-design/artificial-intelligence/guidelines-for-secure-ai-system-development,html,2023-11-26,AI-system-provider,develop,secure-development;lifecycle;providers,true,false,Core source
agentic-ai-adoption,Careful adoption of agentic AI services,https://www.cyber.gov.au/business-government/secure-design/artificial-intelligence/careful-adoption-of-agentic-ai-services,html,2026-04-30,organisation,design-deploy-operate,agents;identity;privilege;monitoring;human-oversight,true,false,High-value and current
ai-small-business,Artificial intelligence for small business,https://www.cyber.gov.au/business-government/secure-design/artificial-intelligence/artificial-intelligence-for-small-business,html,2026-01-13,small-business,adopt,adoption;privacy;data;cyber-risk,true,false,Useful audience-specific branch
ai-attacks-small,Defending against AI-enabled cyber attacks - Guidance for small businesses,https://www.cyber.gov.au/sites/default/files/2026-07/Defending%20against%20AI-enabled%20cyber%20attacks%20-%20Guidance%20for%20small%20businesses.pdf,pdf,2026-07-01,small-business,defend,ai-enabled-attacks;patching;incident-response;logging,true,false,Core attachment
ai-attacks-medium,Defending against AI-enabled cyber attacks - Guidance for medium-sized businesses,https://www.cyber.gov.au/sites/default/files/2026-07/Defending%20against%20AI-enabled%20cyber%20attacks%20-%20Guidance%20for%20medium-sized%20businesses.pdf,pdf,2026-07-01,medium-business,defend,ai-enabled-attacks;patching;incident-response;logging,true,false,Core attachment
ai-attacks-large,Defending against AI-enabled cyber attacks - Guidance for government critical infrastructure and large enterprises,https://www.cyber.gov.au/sites/default/files/2026-07/Defending%20against%20AI-enabled%20cyber%20attacks%20-%20Guidance%20for%20government%2C%20critical%20infrastructure%20and%20large%20enterprises.pdf,pdf,2026-07-01,government-critical-infrastructure-large-enterprises,defend,ai-enabled-attacks;patching;segmentation;least-privilege;monitoring,true,false,Core attachment
